sentence	label
The most repugnant adaptation of a classic text since Roland Joff茅 and Demi Moore 's The Scarlet Letter .	0
The film has a kind of hard , cold effect .	0
Clever but not especially compelling .	0
Even if you 've seen `` Stomp '' ( the stage show ) , you still have to see this !	1
Despite engaging offbeat touches , Knockaround Guys rarely seems interested in kicking around a raison d'etre that 's as fresh-faced as its young-guns cast .	0
( A ) smarter and much funnier version of the old Police Academy flicks .	1
This is absolutely and completely ridiculous and an insult to every family whose mother has suffered through the horrible pains of a death by cancer .	0
There 's something poignant about an artist of 90-plus years taking the effort to share his impressions of life and loss and time and art with us .	1
... what a banal bore the preachy Circuit turns out to be	0
may prove to be ( Tsai 's ) masterpiece .	1
Often likable , but just as often it 's meandering , low on energy , and too eager to be quirky at moments when a little old-fashioned storytelling would come in handy .	1
The film 's sense of imagery gives it a terrible strength , but it 's propelled by the acting .	1
The film rehashes several old themes and is capped with pointless extremes -- it 's insanely violent and very graphic .	0
` Moore is like a progressive bull in a china shop , a provocateur crashing into ideas and special-interest groups as he slaps together his own brand of liberalism . '	0
Returning director Rob Minkoff ... and screenwriter Bruce Joel Rubin ... have done a fine job of updating White 's dry wit to a new age .	1
Provides a satisfactory overview of the bizarre world of extreme athletes as several daredevils express their own views .	1
On top of a foundering performance , ( Madonna 's ) denied her own athleticism by lighting that emphasizes every line and sag .	0
At its best when the guarded , resentful Betty and the manipulative yet needy Margot are front and center .	1
Occasionally loud and offensive , but more often , it simply lulls you into a gentle waking coma .	0
A sour attempt at making a Farrelly Brothers-style , down-and-dirty laugher for the female set .	0
The movie does n't think much of its characters , its protagonist , or of us .	0
Poor Ben Bratt could n't find stardom if MapQuest emailed him point-to-point driving directions .	0
I did go back and check out the last 10 minutes , but these were more repulsive than the first 30 or 40 minutes .	0
A film without surprise geared toward maximum comfort and familiarity .	0
Consider the film a celluloid litmus test for the intellectual and emotional pedigree of your date and a giant step backward for a director I admire .	0
Hard to resist .	1
They presume their audience wo n't sit still for a sociology lesson , however entertainingly presented , so they trot out the conventional science-fiction elements of bug-eyed monsters and futuristic women in skimpy clothes .	0
No thanks .	0
once she lets her love depraved leads meet , ( Denis ' ) story becomes a hopeless , unsatisfying muddle	0
This is a dark , gritty , sometimes funny little gem .	1
And the reason for that is a self-aware , often self-mocking , intelligence .	1
( While The Last Metro ) was more melodramatic , confined to a single theater company and its strategies and deceptions , while Tavernier is more concerned with the entire period of history .	1
So brisk is Wang 's pacing that none of the excellent cast are given air to breathe .	0
All in all , Brown Sugar is a satisfying well-made romantic comedy that 's both charming and well acted .	1
A soulless jumble of ineptly assembled cliches and pabulum that plays like a 95-minute commercial for NBA properties .	0
This time , the hype is quieter , and while the movie is slightly less successful than the first , it 's still a rollicking good time for the most part .	1
... built on the premise that middle-class Arkansas consists of monster truck-loving good ol' boys and peroxide blond honeys whose worldly knowledge comes from TV reruns and supermarket tabloids .	0
Spinning a web of dazzling entertainment may be overstating it , but `` Spider-Man '' certainly delivers the goods .	1
It 's easy to love Robin Tunney -- she 's pretty and she can act -- but it gets harder and harder to understand her choices .	0
Filled with low-brow humor , gratuitous violence and a disturbing disregard for life .	0
When in doubt , the film ratchets up the stirring soundtrack , throws in a fish-out-of-water gag and lets the cliched dialogue rip .	0
An inept , tedious spoof of '70s kung fu pictures , it contains almost enough chuckles for a three-minute sketch , and no more .	0
The AAA of action , XXX is a blast of adrenalin , rated EEE for excitement .	1
Confessions may not be a straightforward bio , nor does it offer much in the way of Barris ' motivations , but the film is an oddly fascinating depiction of an architect of pop culture .	1
A high-spirited buddy movie about the reunion of Berlin anarchists who face arrest 15 years after their crime .	1
The fact is that the screen is most alive when it seems most likely that Broomfield 's interviewees , or even himself , will not be for much longer .	1
Tadpole may be one of the most appealing movies ever made about an otherwise appalling , and downright creepy , subject -- a teenage boy in love with his stepmother .	1
One of the worst films of 2002 .	0
Though Jones and Snipes are enthralling , the movie bogs down in rhetoric and clich茅 .	0
The only thing to fear about `` Fear Dot Com '' is hitting your head on the theater seat in front of you when you doze off thirty minutes into the film .	0
... a gleefully grungy , hilariously wicked black comedy ...	1
The film fearlessly gets under the skin of the people involved ... This makes it not only a detailed historical document , but an engaging and moving portrait of a subculture .	1
Grant carries the day with impeccable comic timing , raffish charm and piercing intellect .	1
She allows each character to confront their problems openly and honestly .	1
A movie where story is almost an afterthought amidst a swirl of colors and inexplicable events .	0
Instead of building to a laugh riot we are left with a handful of disparate funny moments of no real consequence .	0
Try as you might to resist , if you 've got a place in your heart for Smokey Robinson , this movie will worm its way there .	1
Massoud 's story is an epic , but also a tragedy , the record of a tenacious , humane fighter who was also the prisoner ( and ultimately the victim ) of history .	1
I have a new favorite musical -- and I 'm not even a fan of the genre	1
A rare and lightly entertaining look behind the curtain that separates comics from the people laughing in the crowd .	1
A funny , triumphant , and moving documentary .	1
Lacks dramatic punch and depth .	0
It 's a sharp movie about otherwise dull subjects .	1
Many of Benjamins ' elements feel like they 've been patched in from an episode of Miami Vice .	1
