sentence	label
A seriocomic debut of extravagant promise by Georgian-Israeli director Dover Kosashvili .	1
This is a superior horror flick .	1
There are plenty of scenes in Frida that do work , but rarely do they involve the title character herself .	1
The film 's only missteps come from the script 's insistence on providing deep emotional motivation for each and every one of Abagnale 's antics .	0
It 's a square , sentimental drama that satisfies , as comfort food often can .	1
After the setup , the air leaks out of the movie , flattening its momentum with about an hour to go .	0
A muddled limp biscuit of a movie , a vampire soap opera that does n't make much sense even on its own terms .	0
For the most part , the film does hold up pretty well .	1
Phillip Noyce and all of his actors -- as well as his cinematographer , Christopher Doyle -- understand the delicate forcefulness of Greene 's prose , and it 's there on the screen in their version of The Quiet American .	1
A compelling yarn , but not quite a ripping one .	1
Woody Allen can write and deliver a one liner as well as anybody .	1
One of those so-so films that could have been much better .	0
Ear-splitting exercise in formula crash-and-bash action .	0
An instance of an old dog not only learning but inventing a remarkable new trick .	1
It 's a sweet , laugh-a-minute crowd pleaser that lifts your spirits as well as the corners of your mouth .	1
The director explores all three sides of his story with a sensitivity and an inquisitiveness reminiscent of Truffaut .	1
A confluence of kiddie entertainment , sophisticated wit and symbolic graphic design .	1
For all the dolorous trim , Secretary is a genial romance that maintains a surprisingly buoyant tone throughout , notwithstanding some of the writers ' sporadic dips into pop Freudianism .	1
( Less a movie than ) an appalling , odoriferous thing ... so rotten in almost every single facet of production that you 'll want to crawl up your own \*\*\* in embarrassment .	0
... less a story than an inexplicable nightmare , right down to the population 's shrugging acceptance to each new horror .	0
As for children , they wo n't enjoy the movie at all .	0
At times THE GUYS taps into some powerful emotions , but this kind of material is more effective on stage .	1
But on the whole , you 're gonna like this movie .	1
Despite bearing the Paramount imprint , it 's a bargain-basement European pickup .	0
A quasi-documentary by French filmmaker Karim Dridi that celebrates the hardy spirit of Cuban music .	1
Nair does n't use ( Monsoon Wedding ) to lament the loss of culture .	0
A zombie movie in every sense of the word -- mindless , lifeless , meandering , loud , painful , obnoxious .	0
Adults , other than the parents ... will be hard pressed to succumb to the call of the wild .	0
Conceptually brilliant ... Plays like a living-room War Of The Worlds , gaining most of its unsettling force from the suggested and the unknown .	1
Its cast full of caffeinated comedy performances more than make up for its logical loopholes , which fly by so fast there 's no time to think about them anyway .	1
Viewers of Barney 's crushingly self-indulgent spectacle will see nothing in it to match the ordeal of sitting through it .	0
Louiso lets the movie dawdle in classic disaffected-indie-film mode , and brother Hoffman 's script stumbles over a late-inning twist that just does n't make sense .	0
Meyjes focuses too much on Max when he should be filling the screen with this tortured , dull artist and monster-in-the - making .	0
Blessed with a searing lead performance by Ryan Gosling ( Murder by Numbers ) , the movie is powerful and provocative .	1
Crikey indeed .	0
Begins like a docu-drama but builds its multi-character story with a flourish .	1
Hollywood 's answer to an air ball .	1
Enjoyably fast-moving , hard-hitting documentary .	1
( The film ) tackles the topic of relationships in such a straightforward , emotionally honest manner that by the end , it 's impossible to ascertain whether the film is , at its core , deeply pessimistic or quietly hopeful .	1
What Jackson has done is proven that no amount of imagination , no creature , no fantasy story and no incredibly outlandish scenery	0
You know that ten bucks you 'd spend on a ticket ?	0
Rubbo 's humorously tendentious intervention into the who-wrote-Shakespeare controversy .	1
Vividly conveys the shadow side of the 30-year friendship between two English women .	1
Comes off as a long , laborious whine , the bellyaching of a paranoid and unlikable man .	0
But I do .	0
It is a popcorn film , not a must-own , or even a must-see .	0
Impresses as a skillfully assembled , highly polished and professional adaptation ... just about as chilling and unsettling as ` Manhunter ' was .	1
This is a monumental achievement in practically every facet of inept filmmaking : joyless , idiotic , annoying , heavy-handed , visually atrocious , and often downright creepy .	0
Provides the kind of ` laugh therapy ' I need from movie comedies -- offbeat humor , amusing characters , and a happy ending .	1
Not since Ghostbusters has a film used Manhattan 's architecture in such a gloriously goofy way .	1
A very charming and funny movie .	1
Becomes a fascinating study of isolation and frustration that successfully recreates both the physical setting and emotional tensions of the Papin sisters .	1
Shafer 's feature does n't offer much in terms of plot or acting .	0
As steamy as last week 's pork dumplings .	0
Frei assembles a fascinating profile of a deeply humanistic artist who , in spite of all that he 's witnessed , remains surprisingly idealistic , and retains an extraordinary faith in the ability of images to communicate the truth of the world around him .	1
You begin to long for the end credits as the desert does for rain .	0
You feel good , you feel sad , you feel pissed off , but in the end , you feel alive - which is what they did .	1
Maybe it is formula filmmaking , but there 's nothing wrong with that if the film is well-crafted and this one is .	1
Not even Felinni would know what to make of this Italian freakshow .	0
But it does n't need Gangs of New York .	1
It 's mildly interesting to ponder the peculiar American style of justice that plays out here , but it 's so muddled and derivative that few will bother thinking it all through .	0
De Niro cries .	0
Before long , you 're desperate for the evening to end .	0
Everybody loves a David and Goliath story , and this one is told almost entirely from David 's point of view .	1
The story passes time until it 's time for an absurd finale of twisted metal , fireballs and revenge .	0
The story plays out slowly , but the characters are intriguing and realistic .	1
Every sequel you skip will be two hours gained .	0
I could n't recommend this film more .	1
Intriguing and stylish .	1
What 's most refreshing about Real Women Have Curves is its unforced comedy-drama and its relaxed , natural-seeming actors .	1
A worthy addition to the cinematic canon , which , at last count , numbered 52 different versions .	1
The big ending surprise almost saves the movie .	1
While it is welcome to see a Chinese film depict a homosexual relationship in a mature and frank fashion , Lan Yu never catches dramatic fire .	0
I suspect that you 'll be as bored watching Morvern Callar as the characters are in it .	0
Hardly a film that comes along every day .	1
A well-crafted letdown .	0
There are just too many characters saying too many clever things and getting into too many pointless situations .	0
... this is n't even a movie we can enjoy as mild escapism ; it is one in which fear and frustration are provoked to intolerable levels .	0
That Jack Nicholson makes this man so watchable is a tribute not only to his craft , but to his legend .	1
( Jeff 's ) gorgeous , fluid compositions , underlined by Neil Finn and Edmund McWilliams 's melancholy music , are charged with metaphor , but rarely easy , obvious or self-indulgent .	1
Self-congratulatory , misguided , and ill-informed , if nonetheless compulsively watchable .	0
What enlivens this film , beyond the astute direction of Cardoso and beautifully detailed performances by all of the actors , is a note of defiance over social dictates .	1
Strange it is , but delightfully so .	1
It 's sobering , particularly if anyone still thinks this conflict can be resolved easily , or soon .	1
Pull ( s ) off the rare trick of recreating not only the look of a certain era , but also the feel .	1
So verbally flatfooted and so emotionally predictable or bland that it plays like the standard made-for-TV movie .	0
ending .	0
An awkward hybrid of genres that just does n't work .	0
It has a way of seeping into your consciousness , with lingering questions about what the film is really getting at .	1
Good performances and a realistic , non-exploitive approach make Paid in Full worth seeing .	1
Grant carries the day with impeccable comic timing , raffish charm and piercing intellect .	1
Acting can not be acted .	0
Watching this film , what we feel is n't mainly suspense or excitement .	0
Strange and beautiful film .	1
It 's dark and tragic , and lets the business of the greedy talent agents get in the way of saying something meaningful about facing death	1
It asks nothing of the audience other than to sit back and enjoy a couple of great actors hamming it up .	1
Judging by those standards , ` Scratch ' is a pretty decent little documentary .	1
Methodical , measured , and gently tedious in its comedy , Secret Ballot is a purposefully reductive movie -- which may be why it 's so successful at lodging itself in the brain .	1
Feels like pieces a bunch of other , better movies slapped together .	0
Unlike most anime , whose most ardent fans outside Japan seem to be introverted young men with fantasy fetishes , Metropolis never seems hopelessly juvenile .	1
The central character is n't complex enough to hold our interest .	0
A touching drama about old age and grief with a tour de force performance by Michel Piccoli .	1
Some stunning visuals -- and some staggeringly boring cinema .	0
Rubbo runs through a remarkable amount of material in the film 's short 90 minutes .	1
Definitely funny stuff , but it 's more of the ` laughing at ' variety than the ` laughing with . '	1
I ca n't say this enough : This movie is about an adult male dressed in pink jammies .	0
A strong and confident work which works so well for the first 89 minutes , but ends so horrendously confusing in the final two	1
There is simply not enough of interest onscreen to sustain its seventy-minute running time .	0
Forget the Psychology 101 study of romantic obsession and just watch the procession of costumes in castles and this wo n't seem like such a bore .	0
Rather than real figures , Elling and Kjell Bjarne become symbolic characters whose actions are supposed to relate something about the na茂f 's encounter with the world .	0
It 's hard to believe that a relationship like Holly and Marina 's could survive the hothouse emotions of teendom , and its longevity gets more inexplicable as the characterizations turn more crassly reductive .	0
But as you watch the movie , you 're too interested to care .	1
Much has been written about those years when the psychedelic '60s grooved over into the gay '70s , but words do n't really do the era justice .	1
The leads are so unmemorable , despite several attempts at lengthy dialogue scenes , that one eventually resents having to inhale this gutter romancer 's secondhand material .	0
Elegantly produced and expressively performed , the six musical numbers crystallize key plot moments into minutely detailed wonders of dreamlike ecstasy .	1
While it 's all quite tasteful to look at , the attention process tends to do a little fleeing of its own .	0
Call me a cold-hearted curmudgeon for not being able to enjoy a mindless action movie , but I believe a movie can be mindless without being the peak of all things insipid .	0
It 's such a mechanical endeavor ( that ) it never bothers to question why somebody might devote time to see it .	0
It makes even Elizabeth Hurley seem graceless and ugly .	0
Kurys seems intimidated by both her subject matter and the period trappings of this debut venture into the heritage business .	0
Disreputable doings and exquisite trappings are dampened by a lackluster script and substandard performances .	0
It 's like going to a house party and watching the host defend himself against a frothing ex-girlfriend .	0
When the violence actually shocked ?	0
The crassness of this reactionary thriller is matched only by the ridiculousness of its premise .	0
... hits every cliche we 've come to expect , including the assumption that `` crazy '' people are innocent , childlike and inherently funny .	0
Russell lacks the visual panache , the comic touch , and perhaps the budget of Sommers 's title-bout features .	0
The whole affair , true story or not , feels incredibly hokey ... ( it ) comes off like a Hallmark commercial .	0
The lack of naturalness makes everything seem self-consciously poetic and forced ... It 's a pity that ( Nelson 's ) achievement does n't match his ambition .	0
